1;1;1;https://www.dgec.gob.ar/buscador/descargas/Censo_2010-cuadros_por_muni_frac_y_radio/Colón/1H-FR-Colón.xlsx
2;2;1;https://www.dgec.gob.ar/buscador/descargas/Censo_2010-cuadros_por_muni_frac_y_radio/Colón/2H-FR-Colón.xlsx
3;3;1;https://www.dgec.gob.ar/buscador/descargas/Censo_2010-cuadros_por_muni_frac_y_radio/Colón/3H-FR-Colón.xlsx
4;4;1;https://www.dgec.gob.ar/buscador/descargas/Censo_2010-cuadros_por_muni_frac_y_radio/Colón/4H-FR-Colón.xlsx
5;5;1;https://www.dgec.gob.ar/buscador/descargas/Censo_2010-cuadros_por_muni_frac_y_radio/Colón/5H-FR-Colón.xlsx
6;6;1;https://www.dgec.gob.ar/buscador/descargas/Censo_2010-cuadros_por_muni_frac_y_radio/Colón/6H-FR-Colón.xlsx
7;7;1;https://www.dgec.gob.ar/buscador/descargas/Censo_2010-cuadros_por_muni_frac_y_radio/Colón/7H-FR-Colón.xlsx
8;8;1;https://www.dgec.gob.ar/buscador/descargas/Censo_2010-cuadros_por_muni_frac_y_radio/Colón/9H-FR-Colón.xlsx
9;9;1;https://www.dgec.gob.ar/buscador/descargas/Censo_2010-cuadros_por_muni_frac_y_radio/Colón/11H-FR-Colón.xlsx
10;10;1;https://www.dgec.gob.ar/buscador/descargas/Censo_2010-cuadros_por_muni_frac_y_radio/Colón/12H-FR-Colón.xlsx
11;11;1;https://www.dgec.gob.ar/buscador/descargas/Censo_2010-cuadros_por_muni_frac_y_radio/Colón/13H-FR-Colón.xlsx
12;12;1;https://www.dgec.gob.ar/buscador/descargas/Censo_2010-cuadros_por_muni_frac_y_radio/Colón/8H-FR-Colón.xlsx
13;13;1;https://www.dgec.gob.ar/buscador/descargas/Censo_2010-cuadros_por_muni_frac_y_radio/Colón/15H-FR-Colón.xlsx
14;14;1;https://www.dgec.gob.ar/buscador/descargas/Censo_2010-cuadros_por_muni_frac_y_radio/Colón/16H-FR-Colón.xlsx
15;15;1;https://www.dgec.gob.ar/buscador/descargas/Censo_2010-cuadros_por_muni_frac_y_radio/Colón/17H-FR-Colón.xlsx
16;16;1;https://www.dgec.gob.ar/buscador/descargas/Censo_2010-cuadros_por_muni_frac_y_radio/Colón/18H-FR-Colón.xlsx
